sku,name,slug,category,collection,color,image_png,image_webp,short,description,features,tags,alt_text
JWLD-011,Champagne Monogram B Beaded Lighter,champagne-monogram-b-beaded-lighter,Lighter,Monogram Collection,"Champagne, ivory",jwld-011-champagne-monogram-b-beaded-lighter.png,jwld-011-champagne-monogram-b-beaded-lighter.webp,A champagne-and-ivory beaded lighter with a bold monogram-style B on the front.,"The Champagne Monogram B Beaded Lighter combines warm neutral beads with a clean front monogram detail. It gives the product line a more personalized, boutique gift feel without needing a full custom order workflow.",Champagne and ivory bead finish | Monogram-style B detail | Neutral giftable palette | Compact standard lighter shape | Slight handmade variation,"champagne, monogram, letter-b, beaded, lighter, neutral",Champagne Monogram B Beaded Lighter product photo on a warm neutral studio background.
JWLD-012,Candy Cane Stripe Beaded Lighter,candy-cane-stripe-beaded-lighter,Lighter,Holiday Collection,"Red, white, green",jwld-012-candy-cane-stripe-beaded-lighter.png,jwld-012-candy-cane-stripe-beaded-lighter.webp,"A red, white, and green striped beaded lighter with a classic candy-cane holiday feel.","The Candy Cane Stripe Beaded Lighter uses tight horizontal bands of red, white, and green beads for a clean seasonal pattern. It is an easy holiday product that reads clearly in small thumbnails.","Red, white, and green stripe pattern | Holiday-inspired beadwork | Smooth rounded bead texture | Compact standard lighter shape | Handmade one-off styling","candy-cane, holiday, stripe, beaded, lighter, green",Candy Cane Stripe Beaded Lighter product photo on a warm neutral studio background.
JWLD-013,Snowman Beaded Lighter,snowman-beaded-lighter,Lighter,Holiday Collection,"White, black, red",jwld-013-snowman-beaded-lighter.png,jwld-013-snowman-beaded-lighter.webp,A white beaded lighter with a black top band and simple snowman face-and-button details.,"The Snowman Beaded Lighter keeps the holiday theme clean with a white bead body, black top band, red nose accent, and button details down the front. It is cute, recognizable, and easy to sell as a winter gift item.",White bead wrap | Snowman face and button detail | Black top band accent | Compact standard lighter shape | Slight handmade variation,"snowman, white, holiday, winter, beaded, lighter",Snowman Beaded Lighter product photo on a warm neutral studio background.
JWLD-014,Neon Lime Beaded Lighter,neon-lime-beaded-lighter,Lighter,Soft Solids,Neon lime green,jwld-014-neon-lime-beaded-lighter.png,jwld-014-neon-lime-beaded-lighter.webp,A bright neon lime beaded lighter with a clean solid-color wrap.,The Neon Lime Beaded Lighter is a simple solid-color piece with a bright green finish that hits hard in a product grid. It works well as a basic colorway for customers who prefer bold color over extra charms.,Solid neon lime bead wrap | Bright monochrome look | Smooth rounded bead texture | Compact standard lighter shape | Handmade one-off styling,"green, lime, neon, beaded, lighter, solid",Neon Lime Beaded Lighter product photo on a warm neutral studio background.
JWLD-015,Pearl Opal Rhinestone Lighter,pearl-opal-rhinestone-lighter,Lighter,Pearl Collection,"Pearl, ivory, opal",jwld-015-pearl-opal-rhinestone-lighter.png,jwld-015-pearl-opal-rhinestone-lighter.webp,A pearl-toned rhinestone lighter with a soft opal shimmer and clean luxury finish.,"The Pearl Opal Rhinestone Lighter gives the collection a softer luxury piece with ivory, pearl, and opal-style sparkle. It is understated compared with the bright colorways but still catches light from every angle.",Pearl and opal rhinestone finish | Soft neutral colorway | Glossy handmade shine | Compact standard lighter shape | Slight handmade variation,"pearl, opal, ivory, rhinestone, lighter, neutral",Pearl Opal Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-016,Black Onyx Rhinestone Lighter,black-onyx-rhinestone-lighter,Lighter,Dark Shine,"Black, gunmetal",jwld-016-black-onyx-rhinestone-lighter.png,jwld-016-black-onyx-rhinestone-lighter.webp,A dark black rhinestone lighter with a clean onyx-style crystal finish.,"The Black Onyx Rhinestone Lighter is the cleanest dark piece in the set, using black stones for a glossy, minimal look. It fits the JWLD luxury-dark aesthetic and works well as a staple colorway.",Black rhinestone coverage | Glossy onyx-style finish | Minimal dark colorway | Compact standard lighter shape | Handmade one-off styling,"black, onyx, rhinestone, lighter, dark, minimal",Black Onyx Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-017,Blue Lagoon Ombre Rhinestone Lighter,blue-lagoon-ombre-rhinestone-lighter,Lighter,Ombre Collection,"Blue, turquoise",jwld-017-blue-lagoon-ombre-rhinestone-lighter.png,jwld-017-blue-lagoon-ombre-rhinestone-lighter.webp,A blue-to-turquoise rhinestone lighter with a clean ocean-style ombre fade.,"The Blue Lagoon Ombre Rhinestone Lighter fades from deeper blue into bright turquoise for a clean water-toned look. It is simple, vivid, and strong enough to carry a product image without extra charms or text.",Blue-to-turquoise ombre stones | High-shine rhinestone finish | Clean gradient colorway | Compact standard lighter shape | Slight handmade variation,"blue, turquoise, ombre, rhinestone, lighter, ocean",Blue Lagoon Ombre Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-018,Black Onyx Crystal Mini Container,black-onyx-crystal-mini-container,Container,Mini Containers,Black,jwld-018-black-onyx-crystal-mini-container.png,jwld-018-black-onyx-crystal-mini-container.webp,A round black crystal mini container with a dark high-shine finish.,"The Black Onyx Crystal Mini Container gives the JWLD lineup a compact accessory piece with dark crystal coverage and a clean round shape. It is useful as a displayable mini container, gift add-on, or matching piece for the black lighter styles.",Round mini container shape | Black crystal-covered exterior | Glossy dark finish | Compact accessory size | Slight handmade variation,"black, container, mini-container, crystal, onyx, dark",Black Onyx Crystal Mini Container product photo on a warm neutral studio background.
JWLD-019,Lilac Candy Bead Mini Container,lilac-candy-bead-mini-container,Container,Mini Containers,"Lilac purple, black",jwld-019-lilac-candy-bead-mini-container.png,jwld-019-lilac-candy-bead-mini-container.webp,A round lilac beaded mini container with a soft candy-like finish and black base.,"The Lilac Candy Bead Mini Container is a soft purple accessory piece with rounded bead coverage and a clean black base. It feels playful, giftable, and visually consistent with the lighter product shots.",Round mini container shape | Lilac bead-covered exterior | Soft candy-inspired colorway | Compact accessory size | Handmade one-off styling,"lilac, purple, container, mini-container, beaded, giftable",Lilac Candy Bead Mini Container product photo on a warm neutral studio background.
JWLD-020,Sunflower Pearl Rhinestone Lighter,sunflower-pearl-rhinestone-lighter,Lighter,Flower Collection,"White, yellow, pearl",jwld-020-sunflower-pearl-rhinestone-lighter.png,jwld-020-sunflower-pearl-rhinestone-lighter.webp,A pearl-white rhinestone lighter with stacked yellow sunflower accents down the front.,"The Sunflower Pearl Rhinestone Lighter combines a soft pearl-white base with bold yellow sunflower accents. It is bright but still clean, making it one of the more gift-friendly floral designs in the group.",Pearl-white rhinestone body | Yellow sunflower accent details | Bright floral statement look | Compact standard lighter shape | Slight handmade variation,"sunflower, white, yellow, floral, rhinestone, lighter",Sunflower Pearl Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-021,Ruby Red Rhinestone Lighter,ruby-red-rhinestone-lighter,Lighter,Jewel Solids,Red,jwld-021-ruby-red-rhinestone-lighter.png,jwld-021-ruby-red-rhinestone-lighter.webp,"A full ruby red rhinestone lighter with a bold, clean crystal finish.","The Ruby Red Rhinestone Lighter is a straightforward solid-color piece with full red crystal coverage. It is loud, glossy, and easy to style as a core JWLD colorway.",Full red rhinestone coverage | Bold ruby-inspired colorway | High-shine handmade finish | Compact standard lighter shape | Handmade one-off styling,"red, ruby, rhinestone, lighter, solid, bold",Ruby Red Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-022,Lilac Fuck You Beaded Lighter,lilac-fuck-you-beaded-lighter,Lighter,Attitude Collection,"Lilac purple, black, white",jwld-022-lilac-fuck-you-beaded-lighter.png,jwld-022-lilac-fuck-you-beaded-lighter.webp,A lilac beaded lighter with bold letter beads spelling FUCK YOU on the front.,"The Lilac Fuck You Beaded Lighter pairs a soft purple bead wrap with an unapologetic letter-bead statement on the front. The contrast is the whole point: cute color, sharp attitude, and a handmade finish that stands out immediately.",Lilac bead wrap | Bold letter-bead statement | Soft color with explicit attitude | Compact standard lighter shape | One-of-one handmade variation,"lilac, purple, lettered, attitude, beaded, lighter",Lilac Fuck You Beaded Lighter product photo on a warm neutral studio background.
